player_name,variable,value,counts
Kevon Looney,result_type,PU Fade,12
Kevon Looney,result_type,Post Fade,8
Kevon Looney,result_type,Putback,23
Kevon Looney,result_type,SC Violation,3
Kevon Looney,result_type,Side Out,12
Kevon Looney,result_type,TOV,85
Kevon Looney,result_type,Take FT,2
Kevon Looney,result_type,Take Side,14
Kevon Looney,result_zone,Deep Backcourt,6
Kevon Looney,result_zone,Left Above Break 3,38
Kevon Looney,result_zone,Left Corner 3,32
Kevon Looney,result_zone,Left Midrange,37
Kevon Looney,result_zone,Left Short Mid,27
Kevon Looney,result_zone,Mid-Left Above Break 3,36
Kevon Looney,result_zone,Mid-Left Deep Paint,10
Kevon Looney,result_zone,Mid-Left Midrange,26
Kevon Looney,result_zone,Mid-Left Short Paint,14
Kevon Looney,result_zone,Mid-Right Above Break 3,50
Kevon Looney,result_zone,Mid-Right Deep Paint,5
Kevon Looney,result_zone,Mid-Right Midrange,19
Kevon Looney,result_zone,Mid-Right Short Paint,9
Kevon Looney,result_zone,Right Above Break 3,47
Kevon Looney,result_zone,Right Corner 3,44
Kevon Looney,result_zone,Right Midrange,12
Kevon Looney,result_zone,Right Short Mid,22
Kevon Looney,result_zone,Rim,581
Kevon Looney,result_zone,Short Backcourt,1
Kevon Looney,result_zone,,21
Klay Thompson,points,0.0,947
Klay Thompson,points,1.0,19
Klay Thompson,points,2.0,378
Klay Thompson,points,3.0,293
Klay Thompson,points,,2
Klay Thompson,result_contest,Alter,12
Klay Thompson,result_contest,Average,604
Klay Thompson,result_contest,Block,41
Klay Thompson,result_contest,Fouled,67
Klay Thompson,result_contest,Goaltend,3
Klay Thompson,result_contest,Open,301
Klay Thompson,result_contest,Plus,367
Klay Thompson,result_contest,Poor,82
Klay Thompson,result_contest,,162
Klay Thompson,result_type,1-2D Pull-Up,224
Klay Thompson,result_type,3+D Pull-Up,54
Klay Thompson,result_type,Catch & Shoot,314
Klay Thompson,result_type,Dunk,55
Klay Thompson,result_type,Face-Up,26
Klay Thompson,result_type,Floater,86
Klay Thompson,result_type,Hook,10
Klay Thompson,result_type,Jump Ball,1
Klay Thompson,result_type,Layup,222
Klay Thompson,result_type,Leaner,41
Klay Thompson,result_type,Off-Lob / Tip,9
Klay Thompson,result_type,Off-Movement,265
Klay Thompson,result_type,PU Fade,117
Klay Thompson,result_type,Post Fade,53
Klay Thompson,result_type,Putback,1
Klay Thompson,result_type,SC Violation,8
Klay Thompson,result_type,Side Out,26
Klay Thompson,result_type,TOV,107
Klay Thompson,result_type,Take FT,3
Klay Thompson,result_type,Take Side,17
Klay Thompson,result_zone,Deep Backcourt,2
Klay Thompson,result_zone,Left Above Break 3,135
Klay Thompson,result_zone,Left Corner 3,107
Klay Thompson,result_zone,Left Midrange,55
Klay Thompson,result_zone,Left Short Mid,81
Klay Thompson,result_zone,Mid-Left Above Break 3,154
Klay Thompson,result_zone,Mid-Left Deep Paint,26
Klay Thompson,result_zone,Mid-Left Midrange,54
Klay Thompson,result_zone,Mid-Left Short Paint,15
Klay Thompson,result_zone,Mid-Right Above Break 3,117
Klay Thompson,result_zone,Mid-Right Deep Paint,22
Klay Thompson,result_zone,Mid-Right Midrange,71
Klay Thompson,result_zone,Mid-Right Short Paint,19
Klay Thompson,result_zone,Right Above Break 3,132
Klay Thompson,result_zone,Right Corner 3,109
Klay Thompson,result_zone,Right Midrange,58
Klay Thompson,result_zone,Right Short Mid,66
Klay Thompson,result_zone,Rim,378
Klay Thompson,result_zone,Short Backcourt,3
Klay Thompson,result_zone,,35
Moses Moody,points,0.0,238
Moses Moody,points,1.0,12
Moses Moody,points,2.0,88
Moses Moody,points,3.0,72
Moses Moody,points,4.0,1
Moses Moody,points,,2
Moses Moody,result_contest,Alter,13
Moses Moody,result_contest,Average,147
Moses Moody,result_contest,Block,10
Moses Moody,result_contest,Fouled,26
Moses Moody,result_contest,Goaltend,1
Moses Moody,result_contest,Open,66
Moses Moody,result_contest,Plus,75
Moses Moody,result_contest,Poor,25
Moses Moody,result_contest,,50
Moses Moody,result_type,1-2D Pull-Up,26
Moses Moody,result_type,3+D Pull-Up,12
Moses Moody,result_type,Catch & Shoot,131
Moses Moody,result_type,Dunk,28
Moses Moody,result_type,Face-Up,13
Moses Moody,result_type,Floater,19
Moses Moody,result_type,Layup,76
Moses Moody,result_type,Leaner,2
Moses Moody,result_type,Off-Lob / Tip,5
Moses Moody,result_type,Off-Movement,39
Moses Moody,result_type,PU Fade,12
Moses Moody,result_type,SC Violation,3
Moses Moody,result_type,Side Out,9
Moses Moody,result_type,TOV,29
Moses Moody,result_type,Take FT,2
Moses Moody,result_type,Take Side,7
Moses Moody,result_zone,Deep Backcourt,1
Moses Moody,result_zone,Left Above Break 3,36
Moses Moody,result_zone,Left Corner 3,28
Moses Moody,result_zone,Left Midrange,9
